id,bill_length_mm,bill_depth_mm
1,39.1,18.7
2,39.5,17.4
3,40.3,18
4,36.7,19.3
5,39.3,20.6
6,38.9,17.8
7,39.2,19.6
8,41.1,17.6
9,38.6,21.2
10,34.6,21.1
11,36.6,17.8
12,38.7,19
13,42.5,20.7
14,34.4,18.4
15,46,21.5
16,37.8,18.3
18,35.9,19.2
19,38.2,18.1
20,38.8,17.2
21,35.3,18.9
22,40.6,18.6
23,40.5,17.9
24,37.9,18.6
25,40.5,18.9
26,39.5,16.7
27,37.2,18.1
28,39.5,17.8
29,40.9,18.9
30,36.4,17
31,39.2,21.1
32,38.8,20
33,42.2,18.5
34,37.6,19.3
35,39.8,19.1
36,36.5,18
38,36,18.5
39,44.1,19.7
40,37,16.9
41,39.6,18.8
42,41.1,19
44,42.3,21.2
45,39.6,17.7
46,40.1,18.9
47,35,17.9
48,42,19.5
49,34.5,18.1
50,41.4,18.6
51,39,17.5
52,40.6,18.8
54,37.6,19.1
56,41.3,21.1
57,37.6,17
58,41.1,18.2
59,36.4,17.1
60,41.6,18
61,35.5,16.2
62,41.1,19.1
64,41.8,19.4
65,33.5,19
66,39.7,18.4
67,39.6,17.2
68,45.8,18.9
69,35.5,17.5
71,40.9,16.8
72,37.2,19.4
73,36.2,16.1
75,34.6,17.2
76,42.9,17.6
77,36.7,18.8
78,35.1,19.4
79,37.3,17.8
80,41.3,20.3
81,36.3,19.5
82,36.9,18.6
83,38.3,19.2
84,38.9,18.8
85,35.7,18
86,41.1,18.1
87,34,17.1
88,39.6,18.1
89,36.2,17.3
90,40.8,18.9
91,38.1,18.6
92,40.3,18.5
93,33.1,16.1
94,43.2,18.5
96,41,20
97,37.7,16
99,37.9,18.6
100,39.7,18.9
101,38.6,17.2
102,38.2,20
103,38.1,17
104,43.2,19
106,45.6,20.3
107,39.7,17.7
108,42.2,19.5
109,39.6,20.7
110,42.7,18.3
111,38.6,17
112,37.3,20.5
114,41.1,18.6
115,36.2,17.2
116,37.7,19.8
117,40.2,17
118,41.4,18.5
119,35.2,15.9
120,40.6,19
121,38.8,17.6
122,41.5,18.3
123,39,17.1
124,44.1,18
125,38.5,17.9
126,43.1,19.2
127,36.8,18.5
128,37.5,18.5
129,38.1,17.6
130,41.1,17.5
132,40.2,20.1
133,37,16.5
134,39.7,17.9
135,40.2,17.1
136,40.6,17.2
137,32.1,15.5
138,40.7,17
139,37.3,16.8
140,39,18.7
141,39.2,18.6
142,36.6,18.4
143,36,17.8
144,37.8,18.1
145,36,17.1
146,41.5,18.5
148,50,16.3
149,48.7,14.1
150,50,15.2
151,47.6,14.5
152,46.5,13.5
153,45.4,14.6
154,46.7,15.3
155,43.3,13.4
156,46.8,15.4
157,40.9,13.7
158,49,16.1
159,45.5,13.7
161,45.8,14.6
162,49.3,15.7
163,42,13.5
164,49.2,15.2
165,46.2,14.5
166,48.7,15.1
167,50.2,14.3
168,45.1,14.5
169,46.5,14.5
170,46.3,15.8
171,42.9,13.1
172,46.1,15.1
173,47.8,15
174,48.2,14.3
175,50,15.3
176,47.3,15.3
177,42.8,14.2
178,45.1,14.5
180,49.1,14.8
181,48.4,16.3
182,42.6,13.7
183,44.4,17.3
184,44,13.6
185,48.7,15.7
186,42.7,13.7
187,49.6,16
188,45.3,13.7
189,49.6,15
190,50.5,15.9
191,43.6,13.9
192,45.5,13.9
193,50.5,15.9
195,45.2,15.8
196,46.6,14.2
198,45.1,14.4
200,46.5,14.4
201,45,15.4
202,43.8,13.9
203,45.5,15
204,43.2,14.5
206,45.3,13.8
207,46.2,14.9
209,54.3,15.7
210,45.8,14.2
211,49.8,16.8
212,49.5,16.2
213,43.5,14.2
214,50.7,15
215,47.7,15
216,46.4,15.6
217,48.2,15.6
218,46.5,14.8
219,46.4,15
220,48.6,16
221,47.5,14.2
222,51.1,16.3
223,45.2,13.8
224,45.2,16.4
225,49.1,14.5
226,52.5,15.6
227,47.4,14.6
229,44.9,13.8
230,50.8,17.3
231,43.4,14.4
232,51.3,14.2
233,47.5,14
234,52.1,17
235,47.5,15
236,52.2,17.1
237,45.5,14.5
238,49.5,16.1
239,44.5,14.7
241,49.4,15.8
242,46.9,14.6
244,51.1,16.5
245,48.5,15
246,55.9,17
247,47.2,15.5
248,49.1,15
249,46.8,16.1
250,41.7,14.7
252,43.3,14
253,48.1,15.1
255,49.8,15.9
256,43.5,15.2
258,46.2,14.1
259,55.1,16
260,48.8,16.2
261,47.2,13.7
262,46.8,14.3
263,50.4,15.7
264,45.2,14.8
265,49.9,16.1
266,46.5,17.9
267,50,19.5
269,45.4,18.7
270,52.7,19.8
271,45.2,17.8
272,46.1,18.2
273,51.3,18.2
274,46,18.9
275,51.3,19.9
277,51.7,20.3
278,47,17.3
279,52,18.1
281,50.5,19.6
282,50.3,20
283,58,17.8
284,46.4,18.6
285,49.2,18.2
286,42.4,17.3
287,48.5,17.5
288,43.2,16.6
289,50.6,19.4
290,46.7,17.9
291,52,19
292,50.5,18.4
293,49.5,19
294,46.4,17.8
295,52.8,20
296,40.9,16.6
297,54.2,20.8
298,42.5,16.7
299,51,18.8
300,49.7,18.6
301,47.5,16.8
302,47.6,18.3
303,52,20.7
304,46.9,16.6
306,49,19.5
308,50.9,19.1
309,45.5,17
310,50.9,17.9
311,50.8,18.5
312,50.1,17.9
313,49,19.6
314,51.5,18.7
315,49.8,17.3
316,48.1,16.4
317,51.4,19
319,50.7,19.7
320,42.5,17.3
321,52.2,18.8
322,45.2,16.6
