,ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Z_CostContact,Z_Revenue
0,5524,1957,Graduation,Single,58138,0,0,635,88,546,172,88,88,8,10,4,7,0,3,11
1,2174,1954,Graduation,Single,46344,1,1,11,1,6,2,1,6,1,1,2,5,0,3,11
2,4141,1965,Graduation,Together,71613,0,0,426,49,127,111,21,42,8,2,10,4,0,3,11
3,6182,1984,Graduation,Together,26646,1,0,11,4,20,10,3,5,2,0,4,6,0,3,11
4,7446,1967,Master,Together,62513,0,1,520,42,98,0,42,14,6,4,10,6,0,3,11
…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1749,9432,1977,Graduation,Together,666666,1,0,9,14,18,8,1,12,3,1,3,6,0,3,11
1750,8372,1974,Graduation,Married,34421,1,0,3,3,7,6,2,9,1,0,2,7,0,3,11
1751,10870,1967,Graduation,Married,61223,0,1,709,43,182,42,118,247,9,3,4,5,0,3,11
1752,7270,1981,Graduation,Divorced,56981,0,0,908,48,217,32,12,24,2,3,13,6,0,3,11
1753,8235,1956,Master,Together,69245,0,1,428,30,214,80,30,61,6,5,10,3,0,3,11
