,ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Z_CostContact,Z_Revenue
26,10738,1951,Master,Single,49389,1,1,40,0,19,2,1,3,2,0,3,7,0,3,11
46,6853,1982,Master,Single,75777,0,0,712,26,538,69,13,80,3,6,11,1,0,3,11
76,11178,1972,Master,Single,42394,1,0,15,2,10,0,1,4,1,0,3,7,0,3,11
98,6205,1967,Master,Single,32557,1,0,34,3,29,0,4,10,2,1,3,5,0,3,11
110,821,1992,Master,Single,92859,0,0,962,61,921,52,61,20,5,4,12,2,0,3,11
…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1690,3520,1990,Master,Single,91172,0,0,162,28,818,0,28,56,4,3,7,3,0,3,11
1709,4418,1983,Master,Single,89616,0,0,671,47,655,145,111,15,7,5,12,2,0,3,11
1714,2980,1952,Master,Single,8820,1,1,12,0,13,4,2,4,3,0,3,8,0,3,11
1738,7366,1982,Master,Single,75777,0,0,712,26,538,69,13,80,3,6,11,1,0,3,11
1747,9817,1970,Master,Single,44802,0,0,853,10,143,13,10,20,9,4,12,8,0,3,11
