,ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Z_CostContact,Z_Revenue
0,5524,1957,Graduation,Single,58138,0,0,635,88,546,172,88,88,8,10,4,7,0,3,11
1,2174,1954,Graduation,Single,46344,1,1,11,1,6,2,1,6,1,1,2,5,0,3,11
2,4141,1965,Graduation,Together,71613,0,0,426,49,127,111,21,42,8,2,10,4,0,3,11
3,6182,1984,Graduation,Together,26646,1,0,11,4,20,10,3,5,2,0,4,6,0,3,11
4,7446,1967,Master,Together,62513,0,1,520,42,98,0,42,14,6,4,10,6,0,3,11
…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
481,11133,1973,PhD,YOLO,48432,0,1,322,3,50,4,3,42,7,1,6,8,0,3,11
482,9589,1948,PhD,Widow,82032,0,0,332,194,377,149,125,57,4,6,7,1,0,3,11
483,4286,1970,PhD,Single,57642,0,1,580,6,58,8,0,27,7,6,6,4,0,3,11
484,4001,1946,PhD,Together,64014,2,1,406,0,30,0,0,8,8,2,5,7,0,3,11
485,9405,1954,PhD,Married,52869,1,1,84,3,61,2,1,21,3,1,4,7,0,3,11
